Python path: /home/lekia.p/miniforge3/envs/pynta_fairchem38/bin/python
Conda environment: pynta_fairchem38
ASE version: 3.23.0
2025-07-09 10:57:41,221 INFO Hostname/IP lookup (this will take a few seconds)
2025-07-09 10:57:41,222 INFO Launching Rocket
2025-07-09 10:57:43,772 INFO RUNNING fw_id: 12 in directory: /work/westgroup/lekia.p/pynta/Fe/block_2025-07-09-11-18-07-205805/launcher_2025-07-09-14-57-30-484582
2025-07-09 10:57:43,809 INFO Task started: {{pynta.tasks.MolecularAdsorbateEstimate}}.
initial geometries
4
------------------------------------------------------------
  cycle        total energy    energy error   density error
------------------------------------------------------------
      1     -76.67119473472  -7.6743320E+01   1.2360493E+00
     59     -37.11516068275  -2.8492669E+01   1.0488323E+00
     60     -35.91308154770   1.2020791E+00   1.1392503E+00
     61     -52.89733350092  -1.6984252E+01   8.8200926E-01
     62     -57.27893963928  -4.3816061E+00   8.4827641E-01
     63     -58.24472195601  -9.6578232E-01   8.3124587E-01
     64     -59.99791805340  -1.7531961E+00   7.8933559E-01
     65     -63.06532592294  -3.0674079E+00   7.3492160E-01
     66     -65.84653513257  -2.7812092E+00   6.7933826E-01
     67     -55.37913178518   1.0467403E+01   7.9968712E-01
     68     -37.03075066506   1.8348381E+01   8.1843281E-01
     69     -66.39144364660  -2.9360693E+01   5.7512977E-01
     70     -72.11465147901  -5.7232078E+00   5.0783780E-01
     71     -70.59145785951   1.5231936E+00   5.2376822E-01
     72     -73.38774119949  -2.7962833E+00   4.9941948E-01
     73     -75.55983612326  -2.1720949E+00   4.2802092E-01
     74     -73.66319955013   1.8966366E+00   4.5986128E-01
     75     -70.00749962618   3.6556999E+00   4.8046948E-01
     76     -77.18827321021  -7.1807736E+00   3.4369615E-01
     77     -76.95240458835   2.3586862E-01   3.4959564E-01
     78     -79.47755273234  -2.5251481E+00   2.7123076E-01
     79     -79.41847990681   5.9072826E-02   2.6363419E-01
     80     -80.50452423944  -1.0860443E+00   1.9874328E-01
     81     -80.75802108733  -2.5349685E-01   1.8320832E-01
     82     -80.93824026204  -1.8021917E-01   1.6137639E-01
     83     -81.06310321541  -1.2486295E-01   1.4497984E-01
     84     -81.41587996407  -3.5277675E-01   1.1719847E-01
     85     -81.53740966292  -1.2152970E-01   1.0344812E-01
     86     -81.62355641167  -8.6146749E-02   8.7597456E-02
     87     -81.70715340300  -8.3596991E-02   6.7602091E-02
     88     -81.78808696871  -8.0933566E-02   5.5837720E-02
     89     -81.82562078754  -3.7533819E-02   5.1225360E-02
     90     -81.87936640006  -5.3745613E-02   3.6973636E-02
     91     -81.91004080203  -3.0674402E-02   2.4806089E-02
     92     -81.91303740144  -2.9965994E-03   2.2130180E-02
     93     -81.91834137547  -5.3039740E-03   1.6961537E-02
     94     -81.92426045769  -5.9190822E-03   1.4113785E-02
     95     -81.92651012361  -2.2496659E-03   1.2191099E-02
     96     -81.92935333141  -2.8432078E-03   8.5407598E-03
     97     -81.92974777337  -3.9444196E-04   7.6870904E-03
     98     -81.93041490296  -6.6712958E-04   5.8194580E-03
     99     -81.93099356949  -5.7866653E-04   4.7256585E-03
    100     -81.93148244073  -4.8887124E-04   3.1936591E-03
    101     -81.93158162970  -9.9188976E-05   2.6881822E-03
    102     -81.93169507252  -1.1344282E-04   1.9929849E-03
    103     -81.93171563997  -2.0567447E-05   1.7279469E-03
    104     -81.93175126521  -3.5625241E-05   1.2911491E-03
    105     -81.93178819968  -3.6934470E-05   1.0062752E-03
    106     -81.93180376291  -1.5563232E-05   8.2341705E-04
    107     -81.93181651544  -1.2752525E-05   5.4934071E-04
    108     -81.93182273716  -6.2217263E-06   3.4899708E-04
    109     -81.93182602828  -3.2911158E-06   2.4075665E-04
    110     -81.93182453979   1.4884898E-06   2.5037216E-04
    111     -81.93182637441  -1.8346188E-06   1.7345591E-04
    112     -81.93182745464  -1.0802380E-06   8.8474610E-05
    113     -81.93182781514  -3.6050011E-07   4.6582582E-05
    114     -81.93182784978  -3.4630929E-08   2.7607003E-05
    115     -81.93182787310  -2.3326237E-08   1.7853724E-05
------------------------------------------------------------

 total:                                  12.141 sec
3
{'bond-orders': array([[0.00000000e+00, 3.86779629e-01, 3.86799842e-01, 7.07036633e-01,
        2.08125981e-01, 6.94888220e-01, 7.06985184e-01, 6.94975220e-01,
        2.08453847e-01, 2.48178541e-01, 8.38509494e-02, 8.26755467e-02,
        8.35386575e-02, 2.48974607e-01, 8.25070973e-02, 5.34859023e-01,
        5.34821300e-01, 9.86538129e-02, 2.06049081e-01, 1.04658841e-01,
        1.04603278e-01, 6.66883182e-02, 3.01966438e-02, 6.42062703e-02,
        6.66693644e-02, 6.49663370e-02, 3.06703948e-02, 3.28863425e-03],
       [3.86779629e-01, 0.00000000e+00, 3.83482020e-01, 7.03035299e-01,
        7.05899352e-01, 2.11481076e-01, 2.18914355e-01, 6.98016363e-01,
        7.05291446e-01, 8.35833160e-02, 2.38754344e-01, 8.38674415e-02,
        7.97277223e-02, 8.17238147e-02, 2.47874269e-01, 9.68290392e-02,
        5.38684556e-01, 5.37287783e-01, 1.03492085e-01, 2.11078112e-01,
        1.04430752e-01, 6.42474169e-02, 6.75014430e-02, 2.83448398e-02,
        2.83247354e-02, 6.50424142e-02, 6.55277252e-02, 3.35271263e-03],
       [3.86799842e-01, 3.83482020e-01, 0.00000000e+00, 2.18939668e-01,
        7.05270681e-01, 6.97957295e-01, 7.02416521e-01, 2.12026948e-01,
        7.05875513e-01, 8.16653108e-02, 7.99164400e-02, 2.47405027e-01,
        2.37814073e-01, 8.37873003e-02, 8.39070680e-02, 5.39068503e-01,
        9.69530863e-02, 5.37509779e-01, 1.03635540e-01, 1.04478334e-01,
        2.11053783e-01, 2.82988969e-02, 6.58250691e-02, 6.42275022e-02,
        6.45179310e-02, 2.86073603e-02, 6.74600881e-02, 3.15807697e-03],
       [7.07036633e-01, 7.03035299e-01, 2.18939668e-01, 0.00000000e+00,
        3.83675313e-01, 3.81639355e-01, 7.12249632e-01, 2.23620156e-01,
        7.07100736e-01, 5.39951231e-01, 5.44861098e-01, 8.75994730e-02,
        2.37740723e-01, 8.85464259e-02, 8.27525116e-02, 7.57859471e-02,
        2.48992878e-01, 8.09209548e-02, 6.60986106e-02, 6.59726013e-02,
        2.65321539e-02, 1.93012518e-01, 1.09406432e-01, 9.77035813e-02,
        5.50684548e-02, 3.56253620e-02, 6.35490465e-02, 6.16377407e-03],
       [2.08125981e-01, 7.05899352e-01, 7.05270681e-01, 3.83675313e-01,
        0.00000000e+00, 3.77860765e-01, 7.06930525e-01, 7.03580491e-01,
        2.01492904e-01, 9.57549245e-02, 5.35525040e-01, 5.46429373e-01,
        8.79834749e-02, 2.44928516e-01, 8.52301298e-02, 7.99976024e-02,
        8.41596291e-02, 2.47513680e-01, 2.73561429e-02, 6.64903036e-02,
        6.46089636e-02, 1.12885320e-01, 1.97772515e-01, 1.02821633e-01,
        6.22256112e-02, 7.90681212e-02, 2.90178963e-02, 2.24135546e-03],
       [6.94888220e-01, 2.11481076e-01, 6.97957295e-01, 3.81639355e-01,
        3.77860765e-01, 0.00000000e+00, 2.22778338e-01, 7.28415568e-01,
        7.03086881e-01, 5.35066085e-01, 8.11360780e-02, 5.46384859e-01,
        9.67908557e-02, 7.96231867e-02, 2.37359718e-01, 2.39154169e-01,
        8.12614152e-02, 8.89100890e-02, 6.66281671e-02, 2.81716259e-02,
        7.03188935e-02, 9.52740386e-02, 1.03949512e-01, 1.58551722e-01,
        2.89152025e-02, 6.71063997e-02, 7.30832598e-02, 1.32710357e-03],
       [7.06985184e-01, 2.18914355e-01, 7.02416521e-01, 7.12249632e-01,
        7.06930525e-01, 2.22778338e-01, 0.00000000e+00, 3.81777997e-01,
        3.83841436e-01, 8.83452679e-02, 2.37697063e-01, 8.27094029e-02,
        5.44776497e-01, 5.41647004e-01, 8.81082447e-02, 2.48909791e-01,
        7.55635952e-02, 8.14579323e-02, 6.59916336e-02, 2.64070175e-02,
        6.65382131e-02, 5.51460420e-02, 6.51284099e-02, 3.36862886e-02,
        1.91640096e-01, 9.79409061e-02, 1.10116543e-01, 5.98304958e-03],
       [6.94975220e-01, 6.98016363e-01, 2.12026948e-01, 2.23620156e-01,
        7.03580491e-01, 7.28415568e-01, 3.81777997e-01, 0.00000000e+00,
        3.77488388e-01, 7.98211989e-02, 9.67003678e-02, 2.36840138e-01,
        8.13233799e-02, 5.34927366e-01, 5.46366372e-01, 8.14965541e-02,
        2.38612612e-01, 8.86778165e-02, 6.68207315e-02, 7.04884537e-02,
        2.85468999e-02, 2.96203987e-02, 7.19453018e-02, 6.61324194e-02,
        9.55871031e-02, 1.56767534e-01, 1.03365149e-01, 1.33671365e-03],
       [2.08453847e-01, 7.05291446e-01, 7.05875513e-01, 7.07100736e-01,
        2.01492904e-01, 7.03086881e-01, 3.83841436e-01, 3.77488388e-01,
        0.00000000e+00, 2.44447698e-01, 8.87496715e-02, 8.56843203e-02,
        5.35215104e-01, 9.44950076e-02, 5.46798451e-01, 8.43517266e-02,
        7.93241092e-02, 2.47822958e-01, 2.74015343e-02, 6.43787425e-02,
        6.68765170e-02, 6.21605981e-02, 2.90963904e-02, 7.97199089e-02,
        1.14197139e-01, 1.02190806e-01, 1.94964650e-01, 2.53102499e-03],
       [2.48178541e-01, 8.35833160e-02, 8.16653108e-02, 5.39951231e-01,
        9.57549245e-02, 5.35066085e-01, 8.83452679e-02, 7.98211989e-02,
        2.44447698e-01, 0.00000000e+00, 2.29398855e-01, 2.32773064e-01,
        3.18791649e-01, 6.46426341e-02, 3.12239856e-01, 3.19625416e-01,
        3.08390561e-01, 6.29455607e-02, 2.55140216e-01, 1.12009808e-01,
        1.06550109e-01, 7.10142024e-01, 1.47705693e-01, 6.91417129e-01,
        1.19447285e-01, 1.08861235e-01, 2.62109136e-01, 3.61885502e-03],
       [8.38509494e-02, 2.38754344e-01, 7.99164400e-02, 5.44861098e-01,
        5.35525040e-01, 8.11360780e-02, 2.37697063e-01, 9.67003678e-02,
        8.87496715e-02, 2.29398855e-01, 0.00000000e+00, 2.16582925e-01,
        3.11425133e-01, 3.19085838e-01, 9.07935996e-02, 6.38130417e-02,
        2.96047382e-01, 3.03077668e-01, 1.11608497e-01, 2.53417989e-01,
        1.14190977e-01, 6.78841630e-01, 6.98719809e-01, 1.17050783e-01,
        2.49822403e-01, 1.33410430e-01, 1.11232923e-01, 6.00996892e-03],
       [8.26755467e-02, 8.38674415e-02, 2.47405027e-01, 8.75994730e-02,
        5.46429373e-01, 5.46384859e-01, 8.27094029e-02, 2.36840138e-01,
        8.56843203e-02, 2.32773064e-01, 2.16582925e-01, 0.00000000e+00,
        9.26526833e-02, 3.12292648e-01, 3.11372930e-01, 3.18995955e-01,
        6.89613109e-02, 3.15944853e-01, 1.09750442e-01, 1.18536867e-01,
        2.64637363e-01, 1.27669864e-01, 6.91580244e-01, 6.71823614e-01,
        1.25032927e-01, 2.44917103e-01, 1.16937596e-01, 9.40060293e-04],
       [8.35386575e-02, 7.97277223e-02, 2.37814073e-01, 2.37740723e-01,
        8.79834749e-02, 9.67908557e-02, 5.44776497e-01, 8.13233799e-02,
        5.35215104e-01, 3.18791649e-01, 3.11425133e-01, 9.26526833e-02,
        0.00000000e+00, 2.27033932e-01, 2.16221810e-01, 2.95271987e-01,
        6.40675107e-02, 3.02037636e-01, 1.12010028e-01, 1.14669355e-01,
        2.54664097e-01, 2.50413848e-01, 1.10208227e-01, 1.33091358e-01,
        6.79050180e-01, 1.18827405e-01, 6.94228852e-01, 5.85392560e-03],
       [2.48974607e-01, 8.17238147e-02, 8.37873003e-02, 8.85464259e-02,
        2.44928516e-01, 7.96231867e-02, 5.41647004e-01, 5.34927366e-01,
        9.44950076e-02, 6.46426341e-02, 3.19085838e-01, 3.12292648e-01,
        2.27033932e-01, 0.00000000e+00, 2.34297937e-01, 3.09065271e-01,
        3.19617912e-01, 6.35757659e-02, 2.55703296e-01, 1.06003426e-01,
        1.11504213e-01, 1.19968211e-01, 2.63038872e-01, 1.08633027e-01,
        7.10543633e-01, 6.88261698e-01, 1.46422440e-01, 3.12146232e-03],
       [8.25070973e-02, 2.47874269e-01, 8.39070680e-02, 8.27525116e-02,
        8.52301298e-02, 2.37359718e-01, 8.81082447e-02, 5.46366372e-01,
        5.46798451e-01, 3.12239856e-01, 9.07935996e-02, 3.11372930e-01,
        2.16221810e-01, 2.34297937e-01, 0.00000000e+00, 6.89859192e-02,
        3.18610484e-01, 3.15956892e-01, 1.08975591e-01, 2.64006568e-01,
        1.19048665e-01, 1.25909647e-01, 1.16144604e-01, 2.45451383e-01,
        1.29221822e-01, 6.71049868e-01, 6.94947912e-01, 7.03871428e-04],
       [5.34859023e-01, 9.68290392e-02, 5.39068503e-01, 7.57859471e-02,
        7.99976024e-02, 2.39154169e-01, 2.48909791e-01, 8.14965541e-02,
        8.43517266e-02, 3.19625416e-01, 6.38130417e-02, 3.18995955e-01,
        2.95271987e-01, 3.09065271e-01, 6.89859192e-02, 0.00000000e+00,
        2.20641705e-01, 2.25630251e-01, 6.89461860e-01, 1.58155756e-01,
        6.93791007e-01, 1.16902132e-01, 1.12013080e-01, 2.78326202e-01,
        2.59555511e-01, 1.20023467e-01, 1.11600259e-01, 5.67734117e-03],
       [5.34821300e-01, 5.38684556e-01, 9.69530863e-02, 2.48992878e-01,
        8.41596291e-02, 8.12614152e-02, 7.55635952e-02, 2.38612612e-01,
        7.93241092e-02, 3.08390561e-01, 2.96047382e-01, 6.89613109e-02,
        6.40675107e-02, 3.19617912e-01, 3.18610484e-01, 2.20641705e-01,
        0.00000000e+00, 2.25301080e-01, 6.88797195e-01, 6.93933907e-01,
        1.59206929e-01, 2.59412885e-01, 1.11855193e-01, 1.19147806e-01,
        1.16732603e-01, 2.81237433e-01, 1.12494416e-01, 6.04217485e-03],
       [9.86538129e-02, 5.37287783e-01, 5.37509779e-01, 8.09209548e-02,
        2.47513680e-01, 8.89100890e-02, 8.14579323e-02, 8.86778165e-02,
        2.47822958e-01, 6.29455607e-02, 3.03077668e-01, 3.15944853e-01,
        3.02037636e-01, 6.35757659e-02, 3.15956892e-01, 2.25630251e-01,
        2.25301080e-01, 0.00000000e+00, 1.52600108e-01, 6.96481987e-01,
        6.95946925e-01, 1.11417765e-01, 2.62184418e-01, 1.15772855e-01,
        1.11093901e-01, 1.15642628e-01, 2.60647275e-01, 3.44270772e-03],
       [2.06049081e-01, 1.03492085e-01, 1.03635540e-01, 6.60986106e-02,
        2.73561429e-02, 6.66281671e-02, 6.59916336e-02, 6.68207315e-02,
        2.74015343e-02, 2.55140216e-01, 1.11608497e-01, 1.09750442e-01,
        1.12010028e-01, 2.55703296e-01, 1.08975591e-01, 6.89461860e-01,
        6.88797195e-01, 1.52600108e-01, 0.00000000e+00, 3.67276243e-01,
        3.66971042e-01, 6.52711612e-01, 1.37860165e-01, 6.35666239e-01,
        6.51852685e-01, 6.34790490e-01, 1.37769830e-01, 6.98284966e-03],
       [1.04658841e-01, 2.11078112e-01, 1.04478334e-01, 6.59726013e-02,
        6.64903036e-02, 2.81716259e-02, 2.64070175e-02, 7.04884537e-02,
        6.43787425e-02, 1.12009808e-01, 2.53417989e-01, 1.18536867e-01,
        1.14669355e-01, 1.06003426e-01, 2.64006568e-01, 1.58155756e-01,
        6.93933907e-01, 6.96481987e-01, 3.67276243e-01, 0.00000000e+00,
        3.67531337e-01, 6.43657440e-01, 6.25433818e-01, 1.26158111e-01,
        1.41379550e-01, 6.31045063e-01, 6.18267701e-01, 1.79553524e-02],
       [1.04603278e-01, 1.04430752e-01, 2.11053783e-01, 2.65321539e-02,
        6.46089636e-02, 7.03188935e-02, 6.65382131e-02, 2.85468999e-02,
        6.68765170e-02, 1.06550109e-01, 1.14190977e-01, 2.64637363e-01,
        2.54664097e-01, 1.11504213e-01, 1.19048665e-01, 6.93791007e-01,
        1.59206929e-01, 6.95946925e-01, 3.66971042e-01, 3.67531337e-01,
        0.00000000e+00, 1.40972650e-01, 6.12555347e-01, 6.29029290e-01,
        6.41011905e-01, 1.22558285e-01, 6.26370145e-01, 2.38153459e-02],
       [6.66883182e-02, 6.42474169e-02, 2.82988969e-02, 1.93012518e-01,
        1.12885320e-01, 9.52740386e-02, 5.51460420e-02, 2.96203987e-02,
        6.21605981e-02, 7.10142024e-01, 6.78841630e-01, 1.27669864e-01,
        2.50413848e-01, 1.19968211e-01, 1.25909647e-01, 1.16902132e-01,
        2.59412885e-01, 1.11417765e-01, 6.52711612e-01, 6.43657440e-01,
        1.40972650e-01, 0.00000000e+00, 3.75731796e-01, 3.07581133e-01,
        6.50209334e-01, 1.93115544e-01, 6.23758435e-01, 3.93334782e-03],
       [3.01966438e-02, 6.75014430e-02, 6.58250691e-02, 1.09406432e-01,
        1.97772515e-01, 1.03949512e-01, 6.51284099e-02, 7.19453018e-02,
        2.90963904e-02, 1.47705693e-01, 6.98719809e-01, 6.91580244e-01,
        1.10208227e-01, 2.63038872e-01, 1.16144604e-01, 1.12013080e-01,
        1.11855193e-01, 2.62184418e-01, 1.37860165e-01, 6.25433818e-01,
        6.12555347e-01, 3.75731796e-01, 0.00000000e+00, 3.22746505e-01,
        6.19992623e-01, 5.54067484e-01, 1.42060621e-01, 1.00918459e-01],
       [6.42062703e-02, 2.83448398e-02, 6.42275022e-02, 9.77035813e-02,
        1.02821633e-01, 1.58551722e-01, 3.36862886e-02, 6.61324194e-02,
        7.97199089e-02, 6.91417129e-01, 1.17050783e-01, 6.71823614e-01,
        1.33091358e-01, 1.08633027e-01, 2.45451383e-01, 2.78326202e-01,
        1.19147806e-01, 1.15772855e-01, 6.35666239e-01, 1.26158111e-01,
        6.29029290e-01, 3.07581133e-01, 3.22746505e-01, 0.00000000e+00,
        1.90165856e-01, 5.40667456e-01, 5.65996583e-01, 3.34610005e-01],
       [6.66693644e-02, 2.83247354e-02, 6.45179310e-02, 5.50684548e-02,
        6.22256112e-02, 2.89152025e-02, 1.91640096e-01, 9.55871031e-02,
        1.14197139e-01, 1.19447285e-01, 2.49822403e-01, 1.25032927e-01,
        6.79050180e-01, 7.10543633e-01, 1.29221822e-01, 2.59555511e-01,
        1.16732603e-01, 1.11093901e-01, 6.51852685e-01, 1.41379550e-01,
        6.41011905e-01, 6.50209334e-01, 6.19992623e-01, 1.90165856e-01,
        0.00000000e+00, 3.08767514e-01, 3.82147346e-01, 5.18207620e-03],
       [6.49663370e-02, 6.50424142e-02, 2.86073603e-02, 3.56253620e-02,
        7.90681212e-02, 6.71063997e-02, 9.79409061e-02, 1.56767534e-01,
        1.02190806e-01, 1.08861235e-01, 1.33410430e-01, 2.44917103e-01,
        1.18827405e-01, 6.88261698e-01, 6.71049868e-01, 1.20023467e-01,
        2.81237433e-01, 1.15642628e-01, 6.34790490e-01, 6.31045063e-01,
        1.22558285e-01, 1.93115544e-01, 5.54067484e-01, 5.40667456e-01,
        3.08767514e-01, 0.00000000e+00, 3.20645759e-01, 3.32260030e-01],
       [3.06703948e-02, 6.55277252e-02, 6.74600881e-02, 6.35490465e-02,
        2.90178963e-02, 7.30832598e-02, 1.10116543e-01, 1.03365149e-01,
        1.94964650e-01, 2.62109136e-01, 1.11232923e-01, 1.16937596e-01,
        6.94228852e-01, 1.46422440e-01, 6.94947912e-01, 1.11600259e-01,
        1.12494416e-01, 2.60647275e-01, 1.37769830e-01, 6.18267701e-01,
        6.26370145e-01, 6.23758435e-01, 1.42060621e-01, 5.65996583e-01,
        3.82147346e-01, 3.20645759e-01, 0.00000000e+00, 8.24954710e-02],
       [3.28863425e-03, 3.35271263e-03, 3.15807697e-03, 6.16377407e-03,
        2.24135546e-03, 1.32710357e-03, 5.98304958e-03, 1.33671365e-03,
        2.53102499e-03, 3.61885502e-03, 6.00996892e-03, 9.40060293e-04,
        5.85392560e-03, 3.12146232e-03, 7.03871428e-04, 5.67734117e-03,
        6.04217485e-03, 3.44270772e-03, 6.98284966e-03, 1.79553524e-02,
        2.38153459e-02, 3.93334782e-03, 1.00918459e-01, 3.34610005e-01,
        5.18207620e-03, 3.32260030e-01, 8.24954710e-02, 0.00000000e+00]])}
{'bond-orders': array([[0.00000000e+00, 3.86779629e-01, 3.86799842e-01, 7.07036633e-01,
        2.08125981e-01, 6.94888220e-01, 7.06985184e-01, 6.94975220e-01,
        2.08453847e-01, 2.48178541e-01, 8.38509494e-02, 8.26755467e-02,
        8.35386575e-02, 2.48974607e-01, 8.25070973e-02, 5.34859023e-01,
        5.34821300e-01, 9.86538129e-02, 2.06049081e-01, 1.04658841e-01,
        1.04603278e-01, 6.66883182e-02, 3.01966438e-02, 6.42062703e-02,
        6.66693644e-02, 6.49663370e-02, 3.06703948e-02, 3.28863425e-03],
       [3.86779629e-01, 0.00000000e+00, 3.83482020e-01, 7.03035299e-01,
        7.05899352e-01, 2.11481076e-01, 2.18914355e-01, 6.98016363e-01,
        7.05291446e-01, 8.35833160e-02, 2.38754344e-01, 8.38674415e-02,
        7.97277223e-02, 8.17238147e-02, 2.47874269e-01, 9.68290392e-02,
        5.38684556e-01, 5.37287783e-01, 1.03492085e-01, 2.11078112e-01,
        1.04430752e-01, 6.42474169e-02, 6.75014430e-02, 2.83448398e-02,
        2.83247354e-02, 6.50424142e-02, 6.55277252e-02, 3.35271263e-03],
       [3.86799842e-01, 3.83482020e-01, 0.00000000e+00, 2.18939668e-01,
        7.05270681e-01, 6.97957295e-01, 7.02416521e-01, 2.12026948e-01,
        7.05875513e-01, 8.16653108e-02, 7.99164400e-02, 2.47405027e-01,
        2.37814073e-01, 8.37873003e-02, 8.39070680e-02, 5.39068503e-01,
        9.69530863e-02, 5.37509779e-01, 1.03635540e-01, 1.04478334e-01,
        2.11053783e-01, 2.82988969e-02, 6.58250691e-02, 6.42275022e-02,
        6.45179310e-02, 2.86073603e-02, 6.74600881e-02, 3.15807697e-03],
       [7.07036633e-01, 7.03035299e-01, 2.18939668e-01, 0.00000000e+00,
        3.83675313e-01, 3.81639355e-01, 7.12249632e-01, 2.23620156e-01,
        7.07100736e-01, 5.39951231e-01, 5.44861098e-01, 8.75994730e-02,
        2.37740723e-01, 8.85464259e-02, 8.27525116e-02, 7.57859471e-02,
        2.48992878e-01, 8.09209548e-02, 6.60986106e-02, 6.59726013e-02,
        2.65321539e-02, 1.93012518e-01, 1.09406432e-01, 9.77035813e-02,
        5.50684548e-02, 3.56253620e-02, 6.35490465e-02, 6.16377407e-03],
       [2.08125981e-01, 7.05899352e-01, 7.05270681e-01, 3.83675313e-01,
        0.00000000e+00, 3.77860765e-01, 7.06930525e-01, 7.03580491e-01,
        2.01492904e-01, 9.57549245e-02, 5.35525040e-01, 5.46429373e-01,
        8.79834749e-02, 2.44928516e-01, 8.52301298e-02, 7.99976024e-02,
        8.41596291e-02, 2.47513680e-01, 2.73561429e-02, 6.64903036e-02,
        6.46089636e-02, 1.12885320e-01, 1.97772515e-01, 1.02821633e-01,
        6.22256112e-02, 7.90681212e-02, 2.90178963e-02, 2.24135546e-03],
       [6.94888220e-01, 2.11481076e-01, 6.97957295e-01, 3.81639355e-01,
        3.77860765e-01, 0.00000000e+00, 2.22778338e-01, 7.28415568e-01,
        7.03086881e-01, 5.35066085e-01, 8.11360780e-02, 5.46384859e-01,
        9.67908557e-02, 7.96231867e-02, 2.37359718e-01, 2.39154169e-01,
        8.12614152e-02, 8.89100890e-02, 6.66281671e-02, 2.81716259e-02,
        7.03188935e-02, 9.52740386e-02, 1.03949512e-01, 1.58551722e-01,
        2.89152025e-02, 6.71063997e-02, 7.30832598e-02, 1.32710357e-03],
       [7.06985184e-01, 2.18914355e-01, 7.02416521e-01, 7.12249632e-01,
        7.06930525e-01, 2.22778338e-01, 0.00000000e+00, 3.81777997e-01,
